Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Data Analyst,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,Medical Insurance,
Backend Engineer,Bukalapak,Other / Unknown,0,Jakarta,ID,Male,IDR,11500000,Gross,Monthly,"Health insurance, covers 1 wife and 3 children",
Software Engineer,Tiket.com,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,18000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Cosmetic Startup,3,Jakarta,ID,Female,IDR,17500000,Gross,Monthly,,
Software Engineer,Shopee,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,6500000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,21000000,Gross,Monthly,#NAME?,
Software Engineer,Purchase to unlock 👆,Wallet Startup,5,Jakarta,ID,Prefer not to tell,IDR,37000000,Gross,Monthly,"Insurance, potential bonus up to 4x salary per year depending on the company and personal performance",
UI Designer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,27000000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,8000000,Net,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,5000000,Gross,Monthly,,Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,4,Yogyakarta,ID,Male,IDR,5500000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Bandung,ID,Male,IDR,9400000,Net,Monthly,-,
IT Support,Purchase to unlock 👆,Other / Unknown,1,Semarang,ID,Male,IDR,15000000,Net,Monthly,15 juta adalah gaji pokok. Masih ditambah jasa pelayanan medis yg bervariasi tiap bulannya tergantung jumlah pasien yang ada. Dan ini masih di satu RS. Dokter berhak untuk menambah SIP max 3 RS,
IT Support,Purchase to unlock 👆,Other / Unknown,5,Yogyakarta,ID,Male,IDR,10000000,Gross,Monthly,"Mess, Housing, Transportation, Akomodation for paid leave",
Data Analyst,Shoppe,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,18500000,Net,Monthly,,
Software Engineer,Traveloka,Other / Unknown,5,Jakarta,ID,Male,IDR,24500000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,29500000,Gross,Monthly,,
Tester,Shopee,Other / Unknown,0,Bekasi,ID,Prefer not to tell,IDR,5200000,Gross,Monthly,,
Tester,Shopee,Other / Unknown,0,Bekasi,ID,Prefer not to tell,IDR,5200000,Gross,Monthly,,
Tester,Shopee,Other / Unknown,0,Bekasi,ID,Prefer not to tell,IDR,5200000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,11000000,Net,Monthly,,
Tester,Purchase to unlock 👆,Bank,5,Jakarta,ID,Prefer not to tell,IDR,8500000,Gross,Monthly,,
